fault_id,subsystem,severity,short_description,long_description,pilot_actions
PROP-001,Propulsion,critical,Engine Stall,"In-flight loss of stable engine combustion resulting in rapid thrust decay or complete flameout during maneuvering, climb, or high-altitude operation.","Set appropriate airstart conditions, attempt relight per checklist, minimize maneuvering, and prepare for diversion or ejection if relight fails."
PROP-002,Propulsion,high,FADEC Fault,"In-flight FADEC malfunction causes uncommanded thrust changes, degraded throttle response, protective mode entry, or engine limit exceedance warnings.","Stabilize throttle inputs, avoid abrupt power changes, monitor engine indications, select standby or degraded mode if available, and recover to base."
PROP-003,Propulsion,critical,Comp Stall,"The engine compressor stalls in flight because of disturbed inlet flow, control mismatch, or internal instability, producing bangs, yaw, vibration, and rapid thrust loss.","Reduce throttle smoothly, avoid abrupt maneuvering, monitor engine recovery, and prepare for relight or diversion if stall indications persist."
PROP-004,Propulsion,high,Turbine Overtemp,"Turbine temperature rises beyond safe margin in flight because of control error, nozzle mismatch, or internal hot-section distress.","Reduce power, avoid afterburner, monitor engine limits closely, and terminate the sortie before a hot-section failure develops."
PROP-005,Propulsion,high,Nozzle Fault,"Variable exhaust nozzle operation becomes stuck or erratic in flight, causing abnormal thrust response, poor acceleration, or engine limit exceedance risk.","Avoid abrupt throttle movement, monitor engine response for overtemp or thrust mismatch, and recover using the lowest practical power setting."
PROP-006,Propulsion,critical,Oil Press Low,"Engine oil pressure drops in flight, increasing the risk of bearing distress, rising temperature, and rapid engine damage if power is maintained.","Reduce power to preserve the engine, monitor temperature and vibration trends, and recover immediately before a seizure or fire develops."
PROP-007,Propulsion,high,Engine Vib High,"Engine vibration rises abnormally in flight because of rotor imbalance, blade damage, or internal mechanical distress, threatening further engine deterioration.","Avoid rapid throttle changes, reduce power to the lowest acceptable setting, and recover immediately while monitoring for worsening indications."
PROP-008,Propulsion,high,Bleed Valve Fail,"An engine bleed-air valve malfunctions in flight, upsetting compressor stability or depriving the ECS of pneumatic support.","Avoid aggressive power changes, monitor for compressor instability or ECS degradation, and terminate the sortie if the fault persists."
PROP-009,Propulsion,medium,Igniter Fail,"Engine igniter capability is lost in flight, reducing relight probability after a stall or flameout and limiting recovery margins.","Avoid conditions that increase flameout risk, maintain conservative power handling, and divert while relight backup is unavailable."
PROP-010,Propulsion,high,Throttle Mismatch,"Commanded throttle movement no longer matches engine response in flight, causing lag, overshoot, or unpredictable thrust scheduling.","Make small deliberate throttle inputs, keep power changes conservative, and recover if thrust response remains unreliable."
